3968,3841,528,8080,4209,6273,9201,9073,8592
80,2545,2417,6145,8176,4112,8443,11761,8736
3680,0,0,4112,8017,7408,10241,8272,11505
3310,721,272,4624,8192,7041,8208,8305,0
4096,0,0,8192,4107,7937,9201,10878,8848
3424,0,0,4496,7937,7808,9585,12288,8720
4096,0,0,4128,6145,8189,12128,12161,9473
48,2273,362,6657,7681,8192,9210,10481,8480
129,3696,0,4490,7920,7297,8256,11377,0
268,2945,4080,4112,4326,8033,8988,12288,9601
1676,4096,0,8192,4102,6913,12288,8208,8945
144,1265,2300,7697,7680,4128,9851,10881,8384
4080,0,0,8192,8033,4128,8208,9585,9073
262,3968,0,4353,8144,5345,10193,8464,12272
12,4064,2305,5089,8080,0,12288,8336,11025
646,4096,3841,4112,6649,4209,12033,12032,8835
3424,3201,2049,7920,4128,6097,10603,8336,11889
1,400,3456,4349,4512,7681,8464,8305,12032
1873,4096,0,7057,4112,8176,12272,10497,8607
144,1505,2662,4618,8176,7041,12288,8321,8449
3168,1409,3457,5489,4640,7292,10001,12032,8592
3960,32,1137,8192,4110,4353,8224,0,0
16,0,0,7936,6129,4128,8336,11777,12272
1281,4080,513,7008,4481,0,8592,10753,12288
241,4080,32,4112,7040,7297,11521,9568,9857
1984,0,0,7920,6273,4496,12288,10001,8720
560,4096,0,8080,4977,4337,12160,11905,8591
560,4096,0,8080,4977,4337,12160,11905,8591
1633,3457,4096,5505,4481,7424,10881,11616,8336
3211,4093,913,8065,4368,8176,11265,9089,12160
4016,497,0,5777,8192,4112,8717,12256,10497
1153,4064,2183,4112,7936,8065,11137,12256,0
113,513,3920,8176,4481,0,11905,8848,11648
560,4096,0,8080,4977,4337,12160,11905,8591
1,400,3456,6528,5889,7681,8464,8305,12032
3841,2688,2945,4112,7537,7521,12017,8464,8433
241,4080,32,4112,7040,7297,11521,9568,9857
638,3441,48,5489,4640,7292,11121,8240,0
400,2689,3708,6769,4112,4209,8688,11281,11521
3841,2688,2945,4112,7537,7521,12017,8464,8433
513,1873,4096,8176,7105,4105,12272,10497,8592
1758,400,2129,8112,6129,4961,9210,10481,8480
2305,10,4096,5089,8080,7457,8352,11057,12288
0,0,0,5121,4512,7680,8240,8941,11201
3168,1409,0,5489,4640,7292,8208,8673,12012
3693,272,1505,4624,8192,7041,12272,0,0
753,2689,2352,7920,8065,6017,8208,12288,9553
1935,1281,3456,4618,8176,7041,8321,8561,12224
3441,192,1144,4366,8176,6769,12272,8332,11393
945,4096,0,8065,4368,8176,9089,12288,0
2833,3841,2688,4112,7537,7153,11649,9552,12017
3457,4096,1137,8176,5521,4894,11648,9985,8720
128,3201,4001,6497,8080,5745,8208,9553,8662
3968,16,0,4333,8033,4240,12240,10753,9217
1545,2305,4096,4112,7936,6657,8336,0,0
1547,1025,4095,8016,5505,7297,10369,11392,8848
16,0,0,6913,8192,4112,9201,10878,8848
2944,3073,652,8192,6913,4487,8208,9569,12288
2145,997,16,5505,4353,7728,11888,10209,8464
32,2033,0,4112,8063,4721,12288,8604,10897
144,1505,2662,4618,8176,7041,12288,8321,8449
241,4080,32,4112,7040,7297,11521,9568,9857
2944,3073,652,8192,6913,4487,8208,9569,12288
16,0,0,7936,6129,4128,8336,11777,12272
1649,144,3316,7809,7168,4624,8208,8881,12128
144,113,2417,4112,7660,7217,12017,8208,8316
560,0,0,8192,6913,4487,10881,8200,12288
4096,0,0,7153,7025,4112,12017,12157,8208
625,16,1009,8065,6913,8176,12160,11782,8321
241,4080,32,4112,7040,7297,11521,9568,9857
144,3316,1009,7809,7168,4624,8945,12150,8208
0,0,0,8064,5505,4496,8240,8941,11201
1758,400,2129,8112,6129,4961,9210,10481,8480
2976,625,753,7040,7041,5773,8301,8208,12017
1361,16,2136,4721,7418,4112,12160,11425,8224
2305,3,3328,5489,4640,7292,9244,10001,12288
144,1265,2300,7697,7680,4128,9851,10881,8384
4080,32,577,7033,4112,5361,11521,9568,9857
1265,16,0,8192,6913,4487,10881,8200,12288
2801,3616,753,6380,4240,0,12033,12272,8837
2801,2171,272,8049,4240,7425,9585,9073,11792
32,0,0,6353,4112,8064,11665,12288,8604
262,3968,0,4353,8144,5345,10193,8464,12272
849,4080,16,7904,4361,7297,11009,8304,9201
1545,2305,4096,4112,7936,6657,8400,9214,0
2305,3,3328,5489,4640,7292,9244,10001,12288
3067,2417,32,5089,8080,0,8352,11057,12288
3152,272,0,8033,4160,5116,12288,8208,8321
3584,3329,2433,4865,7552,7553,11147,9345,12032
4080,0,0,6912,7153,4624,8208,12017,12142
112,2049,1153,5489,4640,7292,9218,10897,9472
560,4096,0,8080,4977,4337,12160,11905,8591
2317,2304,0,5873,4209,6928,10497,10753,11904
2289,3152,272,4112,5233,8049,12288,8208,8321
4096,3745,0,7425,4368,7936,9489,11777,11392
2561,3168,1409,5489,4640,7292,8208,11243,8801
4016,2289,909,6401,5889,8144,11649,8464,12272
3440,0,0,7153,7025,4112,12158,8208,9409
4080,288,0,5889,4366,8176,12272,11265,8336
3457,4096,1137,5521,8192,5024,11648,9985,8720
